artwork_id,museum_id,nb_images,thumbnail,media_url
109,JL.2022.0.224,2,mar-bvm-7-2022-0-224-001-medium.jpg,"mar-bvm-7-2022-0-224-001-medium.jpg, mar-bvm-7-2022-0-224-002-medium.jpg"
110,JL.2022.0.225,2,mar-bvm-7-2022-0-225-001-medium.jpg,"mar-bvm-7-2022-0-225-001-medium.jpg, mar-bvm-7-2022-0-225-002-medium.jpg"
111,JL.2022.0.233,2,mar-bvm-7-2022-0-233-001-medium.jpg,"mar-bvm-7-2022-0-233-001-medium.jpg, mar-bvm-7-2022-0-233-002-medium.jpg"
112,JL.2022.0.234,2,mar-bvm-7-2022-0-234-001-medium.jpg,"mar-bvm-7-2022-0-234-001-medium.jpg, mar-bvm-7-2022-0-234-002-medium.jpg"
113,JL.2022.0.235,2,mar-bvm-7-2022-0-235-001-medium.jpg,"mar-bvm-7-2022-0-235-001-medium.jpg, mar-bvm-7-2022-0-235-002-medium.jpg"
114,JL.2022.0.238,2,mar-bvm-7-2022-0-238-medium.jpg,"mar-bvm-7-2022-0-238-1-medium.jpg, mar-bvm-7-2022-0-238-medium.jpg"
115,JL.2022.0.247,2,mar-bvm-7-2022-0-247-001-medium.jpg,"mar-bvm-7-2022-0-247-001-medium.jpg, mar-bvm-7-2022-0-247-002-medium.jpg"
116,JL.2022.0.256,1,mar-bvm-7-2022-0-256-medium.jpg,mar-bvm-7-2022-0-256-medium.jpg
117,JL.2022.0.37.1,2,mar-bvm-7-2022-0-37-1-001-medium.jpg,"mar-bvm-7-2022-0-37-1-001-medium.jpg, mar-bvm-7-2022-0-37-1-002-medium.jpg"
118,JL.2022.0.37.2,4,mar-bvm-7-2022-0-37-2-001-medium.jpg,"mar-bvm-7-2022-0-37-2-001-medium.jpg, mar-bvm-7-2022-0-37-2-002-medium.jpg, mar-bvm-7-2022-0-37-3-001-medium.jpg, mar-bvm-7-2022-0-37-3-002-medium.jpg"
119,JL.2022.0.39,3,mar-bvm-7-2022-0-39-2-medium.jpg,"mar-bvm-7-2022-0-39-1-001-medium.jpg, mar-bvm-7-2022-0-39-1-002-medium.jpg, mar-bvm-7-2022-0-39-2-medium.jpg"
120,JL.2022.0.34.1-3,4,mar-bvm-7-2022-0-34-2-medium.jpg,"mar-bvm-7-2022-0-34-1-001-medium.jpg, mar-bvm-7-2022-0-34-1-002-medium.jpg, mar-bvm-7-2022-0-34-2-medium.jpg, mar-bvm-7-2022-0-34-3-medium.jpg"
